兵器名	価格	編|成	耐|久	最大|索敵	最大|防御	移動力|通常/高速	燃料	武器名称	弾数	火|力	射|程	回|数
牽引式野砲|改造三八式野砲	140	10	2|軟	地2(2)	低31	3 / 4	40					
牽引式野砲|改造三八式野砲|変形	-	10	2|軟	地3(1)	低31	1 / 1	40	75mm野砲	6	4	3	1
牽引式野砲|九二式歩兵砲	120	10	2|軟	地2(2)	低31	1 / 3	50					
牽引式野砲|九二式歩兵砲|変形	-	10	2|軟	地3(1)	低31	1 / 1	50	70mm歩兵砲	6	4	1	1
牽引式野砲|機動九〇式野砲	180	10	2|軟	地2(3)	低31	3 / 4	40					
牽引式野砲|機動九〇式野砲|変形	-	10	2|軟	地3(1)	地33	1 / 1	40	75mm野砲	6	4	3	1
牽引式山砲|四一式山砲	130	10	2|軟	地2(2)	低29	1 / 3	50					
牽引式山砲|四一式山砲|変形	-	10	2|軟	地3(1)	低30	1 / 1	50	75mm山砲	6	4	2	1
牽引式山砲|九四式山砲	160	10	2|軟	地2(2)	低29	1 / 3	50					
牽引式山砲|九四式山砲|変形	-	10	2|軟	地3(1)	低31	1 / 1	50	75mm山砲	6	4	2	1
牽引式榴弾砲|四年式15糎榴弾砲	240	10	2|軟	地2(2)	低29	1 / 3	50					
牽引式榴弾砲|四年式15糎榴弾砲|変形	-	10	2|軟	地3(2)	低31	1 / 1	50	15cm榴弾砲	4	7	3	1
牽引式榴弾砲|機動九一式10糎榴弾砲	220	10	2|軟	地2(3)	低31	3 / 4	40					
牽引式榴弾砲|機動九一式10糎榴弾砲|変形	-	10	2|軟	地3(1)	地34	1 / 1	40	105mm榴弾砲	7	5	3	1
牽引式榴弾砲|九六式15糎榴弾砲	260	10	2|軟	地2(4)	低30	2 / 3	40					
牽引式榴弾砲|九六式15糎榴弾砲|変形	-	10	2|軟	地3(2)	低32	1 / 1	40	150mm榴弾砲	6	7	3	1
牽引式加農砲|八九式15糎加農砲	280	10	2|軟	地2(4)	低30	2 / 3	36					
牽引式加農砲|八九式15糎加農砲|変形	-	10	2|軟	地3(2)	低32	1 / 1	36	150mm加農砲	8	6	4	1
牽引式加農砲|九二式10糎加農砲	230	10	2|軟	地2(4)	低31	3 / 4	40					
牽引式加農砲|九二式10糎加農砲|変形	-	10	2|軟	地3(1)	地33	1 / 1	40	10cm加農砲	7	5	4	1
牽引式迫撃砲|九六式中迫撃砲	150	10	2|軟	地2(3)	低29	1 / 3	50					
牽引式迫撃砲|九六式中迫撃砲|変形	-	10	2|軟	地3(1)	低30	1 / 1	50	150mm迫撃砲	6	5	2	1
組立式特殊臼砲|九八式32糎臼砲	230	10	2|軟	地2(1)	低29	2 / 3	60					
組立式特殊臼砲|九八式32糎臼砲|変形	-	10	2|軟	地3(1)	低31	1 / 1	60	320mm臼砲弾	1	10	1	1
