兵器名	価格	編|成	耐|久	最大|索敵	最大|防御	移動力|通常/高速	燃|料	武器名称	弾数	火|力	射|程	回|数
P-36A|ホーク	2300	10	2	低4	低37	10 / 12	80	12.7mm機銃|7.62mm機銃|22.7kg爆弾	2,2|2,2|0,3	2|1|1	1|1|1	2|2|1
P-40B|ウォーホーク	5000	10	2	低4	低39	11 / 13	110	12.7mm機銃|7.62mm機銃	3|4	2|1	1|1	2|2
P-40E|ウォーホーク	5300	10	2	低4	低39	11 / 13	120	12.7mm機銃|12.7mm機銃|227kg爆弾	3,3|4,4|0,1	2|2|4	1|1|1	2|2|1
P-40N|ウォーホーク	5500	10	2	低4	高50	11 / 13	90	12.7mm機銃|12.7mm機銃|227kg爆弾	3,3|5,5|0,2	2|2|4	1|1|1	2|2|1
P-51B|ムスタング	7900	10	3	低5	低51	13 / 15	100	12.7mm機銃|454kg爆弾	5,5|0,1	2|4	1|1	2|1
P-51D|ムスタング	9700	10	3	低5	低51	13 / 15	110	12.7mm機銃|454kg爆弾|5inchロケット	6,6,6|0,2,0|0,0,3	2|4|4	1|1|1	2|1|1
P-51K|ムスタング	9700	10	3	低5	低51	13 / 15	110	12.7mm機銃|454kg爆弾|5inchロケット	6,6,6|0,1,0|0,0,3	2|4|4	1|1|1	2|1|1
XP-54|スゥーズ・グース	4300	10	3	低5	高52	12 / 14	50	37mm機関砲|12.7mm機銃	2|3	4|2	1|1	2|2
P-59A|エアラコメット	6400	10	3	低5	高49	12 / 14	50	37mm機関砲|12.7mm機銃|454kg爆弾|5inchロケット	1,1,1|4,4,4|0,1,0|0,0,4	4|2|4|4	1|1|1|1	2|2|1|1
P-66|バンガード	5900	10	2	低5	低50	11 / 13	90	12.7mm機銃|7.62mm機銃	3|6	2|1	1|1	2|2
P-80A|シューティングスター	11000	10	3	低5	低49	15 / 18	70	12.7mm機銃|454kg爆弾|5inchロケット	6,6,6|0,1,0|0,0,4	2|4|4	1|1|1	2|1|1
P-80C|シューティングスター	13000	10	3	低5	低49	16 / 19	80	12.7mm機銃|454kg爆弾|5inchロケット	6,6,6|0,1,0|0,0,5	2|4|4	1|1|1	2|1|1
P-84B|サンダージェット	22000	10	3	低5	低48	15 / 18	110	12.7mm機銃|12.7mm機銃|5inchロケット	5,5|3,3|0,16	2|2|4	1|1|1	2|2|1
XF-84H|サンダースクリーチ	26000	10	3	低4	低49	14 / 16	160	12.7mm機銃|12.7mm機銃	5|3	2|2	1|1	2|2
F4U-1|コルセア	6000	10	3	低4	低46	12 / 14	90	12.7mm機銃	6	2	1	2
