兵器名	価格	編|成	耐|久	最大|索敵	最大|防御	移動力|通常/高速	燃|料	武器名称	弾数	火|力	射|程	回|数
F3F-2	1900	10	2	低5	低40	8 / 10	100	12.7mm機銃|7.62mm機銃|45kg爆弾	1,1|1,1|0,1	2|1|2	1|1|1	2|2|1
F2A-1/B-239|バッファロー	3500	10	2	低5	低43	10 / 12	60	12.7mm機銃|7.62mm機銃|7.62mm機銃	2|3|4	2|1|1	1|1|1	2|2|2
F2A-3|バッファロー	4500	10	3	低5	低41	11 / 13	90	20mm機関砲|12.7mm機銃|45kg爆弾	2,2|3,3|0,1	3|2|2	1|1|1	2|2|1
F4F-3|ワイルドキャット	5000	10	3	低4	低44	11 / 13	100	12.7mm機銃|45kg爆弾	5,5|0,1	2|2	1|1	2|1
F4F-3A|ワイルドキャット	4300	10	3	低4	低48	11 / 13	80	12.7mm機銃|45kg爆弾	5,5|0,1	2|2	1|1	2|1
F4F-4|ワイルドキャット	4900	10	3	低4	低48	11 / 13	80	12.7mm機銃|113kg爆弾	6,6|0,1	2|3	1|1	2|1
TBM-3M|アベンジャー	6700	10	3	低5	低43	8 / 11	90	12.7mm機銃|12.7mm旋廻銃|7.62mm旋廻銃|スパロー	3,3|2,2|3,3|1,0	2|2|1|6	1|1|1|2	2|2|2|1
F6F-3|ヘルキャット	6700	10	3	低4	低52	12 / 14	100	12.7mm機銃|454kg爆弾	6,6|0,2	2|4	1|1	2|1
F6F-5|ヘルキャット	6700	10	3	低4	低52	12 / 14	100	12.7mm機銃|454kg爆弾|タイニーティム|5inchロケット	6,6,6,6|0,2,0,0|0,0,1,0|0,0,0,3	2|4|7|4	1|1|1|1	2|1|1|1
F4U-4|コルセア	6500	10	3	低4	低51	13 / 15	90	12.7mm機銃|454kg爆弾|5inchロケット	6,6,6|0,1,0|0,0,4	2|4|4	1|1|1	2|1|1
F4U-5N|コルセア	5400	10	3	低4	低52	13 / 15	90	20mm機関砲|454kg爆弾|5inchロケット	4,4,4|0,1,0|0,0,4	3|4|4	1|1|1	2|1|1
FD-1|ファントム	10000	10	3	低4	低50	14 / 16	90	12.7mm機銃	5	2	1	2
FR-1|ファイアボール	7200	10	3	低4	低52	13 / 15	120	12.7mm機銃|227kg爆弾	5,5|0,1	2|4	1|1	2|1
F8F-1|ベアキャット	6300	10	3	低4	低54	13 / 15	100	12.7mm機銃|454kg爆弾|5inchロケット	5,5,5|0,1,0|0,0,2	2|4|4	1|1|1	2|1|1
F8F-2N|ベアキャット	5900	10	3	低5	低53	12 / 14	100	20mm機関砲|454kg爆弾|5inchロケット	4,4,4|0,1,0|0,0,2	3|4|4	1|1|1	2|1|1
F2H-2N|バンシー	11000	10	3	低4	低53	15 / 18	100	20mm機関砲|227kg爆弾|5inchロケット	4,4,4|0,1,0|0,0,3	3|4|4	1|1|1	2|1|1
F3D-1M|スカイナイト	7200	4	4	低5	低52	15 / 18	110	20mm機関砲|スパロー	4,4|0,2	3|6	1|2	3|2
