兵器名	価格	編|成	耐|久	最大|索敵	最大|防御	移動力|通常/高速	燃|料	武器名称	弾数	火|力	射|程	回|数
B-18A|ボロ	3000	1	10	地5	地39	9 / 10	100	7.62mm旋廻銃|7.62mm旋廻銃|907kg爆弾|454kg爆弾|227kg爆弾	3,3|4,4|3,3|1,0|1,2	1|1|7|4|4	1|1|1|1|1	3|3|10|10|10
B-25B|ミッチェル	3500	1	12	地5	地42	10 / 12	100	12.7mm旋廻銃|12.7mm旋廻銃|454kg爆弾	2|5|2	2|2|4	1|1|1	3|3|10
B-25J|ミッチェル	6000	1	12	地5	地42	10 / 12	110	12.7mm旋廻銃|12.7mm旋廻銃|454kg爆弾|227kg爆弾|5inchロケット	6,6,6|8,8,0|2,1,0|0,1,1|0,0,4	2|2|4|4|4	1|1|1|1|1	3|3|10|10|10
A-20B|ハボック	4300	1	12	地5	地42	11 / 13	90	12.7mm旋廻銃|12.7mm旋廻銃|7.62mm旋廻銃|227kg爆弾|113kg爆弾	3,3|2,2|5,5|2,0|0,4	2|2|1|4|3	1|1|1|1|1	3|3|3|10|10
A-20G|ハボック	5000	1	12	地5	地42	11 / 13	100	20mm機関砲|12.7mm旋廻銃|7.62mm旋廻銃|227kg爆弾|113kg爆弾	4,4|3,3|3,3|3,1|0,4	3|2|1|4|3	1|1|1|1|1	3|3|3|10|10
B-26B|マローダー	9200	1	13	地5	地44	10 / 12	220	12.7mm旋廻銃|7.62mm旋廻銃|907kg爆弾|800kg爆弾|454kg爆弾	5,5|4,4|1,0|1,0|0,3	2|1|7|6|4	1|1|1|1|1	3|3|10|10|10
B-26G|マローダー	11400	1	13	地5	地44	10 / 12	220	12.7mm旋廻銃|12.7mm旋廻銃|907kg爆弾|800kg爆弾|454kg爆弾	6,6|6,6|1,0|1,0|0,3	2|2|7|6|4	1|1|1|1|1	3|3|10|10|10
A-26B|インベーダー	5500	1	11	地5	地47	11 / 13	120	12.7mm機銃|12.7mm旋廻銃|454kg爆弾|227kg爆弾|5inchロケット	6,6|3,3|2,0|1,4|0,4	2|2|4|4|4	1|1|1|1|1	3|3|10|10|10
A-26C|インベーダー	5500	1	11	地5	地47	12 / 14	120	12.7mm機銃|12.7mm旋廻銃|454kg爆弾|227kg爆弾|5inchロケット	5,5|3,3|2,0|1,4|0,4	2|2|4|4|4	1|1|1|1|1	3|3|10|10|10
A-24B|バンシー	8900	10	4	地4	地42	9 / 10	100	12.7mm機銃|7.62mm旋廻銃|726kg爆弾|454kg爆弾|147kg爆弾	3,3|4,4|1,0|0,1|1,1	2|1|5|4|3	1|1|1|1|1	2|2|1|1|1
A-35B|ヴェンジャンス	12000	10	4	地4	地41	10 / 12	120	12.7mm機銃|12.7mm旋廻銃|227kg爆弾|113kg爆弾	6,6|2,2|2,1|0,1	2|2|4|3	1|1|1|1	2|2|1|1
