兵器名	価格	編|成	耐|久	最大|索敵	最大|防御	移動力|通常/高速	燃|料	武器名称	弾数	火|力	射|程	回|数
ｷ27甲|九七式戦闘機 甲型	2000	10	2	低4	低38	10 / 12	50	7.7mm機銃	4	1	1	2
ｷ43-Ⅰ甲|一式戦闘機 隼 一型甲	2600	10	2	低5	低43	10 / 12	60	7.7mm機銃|60kg爆弾	4,4|0,1	1|2	1|1	2|1
ｷ43-Ⅱ甲|一式戦闘機 隼 二型甲	3000	10	2	低5	低43	11 / 13	90	12.7mm機銃|250kg爆弾	3,3|0,1	2|4	1|1	2|1
ｷ43-Ⅲ甲|一式戦闘機 隼 三型甲	3400	10	2	低5	低43	11 / 13	110	12.7mm機銃|250kg爆弾|特攻用爆弾	3,3,0|0,1,0|0,0,1	2|4|8	1|1|1	2|1|1
ｷ61-Ⅰ甲|三式戦闘機 飛燕 一型甲	5300	10	2	低4	低51	11 / 13	100	12.7mm機銃|7.7mm機銃|250kg爆弾	3,3|4,4|0,1	2|1|4	1|1|1	2|2|1
ｷ61-Ⅱ甲|三式戦闘機 飛燕 二型改	4200	10	2	低4	低52	12 / 14	90	20mm機関砲|12.7mm機銃|250kg爆弾|特攻用爆弾	2,2,0|3,3,0|0,1,0|0,0,1	3|2|4|8	1|1|1|1	2|2|1|1
ｷ64 試作戦闘機	3100	10	2	低5	低53	13 / 15	60	20mm機関砲|100kg爆弾	4,4|0,1	3|3	1|1	2|1
ｷ84-Ⅰ甲|四式戦闘機 疾風 一型甲	6100	10	3	低5	低52	12 / 14	90	20mm機関砲|12.7mm機銃|250kg爆弾|特攻用爆弾	2,2,0|3,3,0|0,1,0|0,0,1	3|2|4|8	1|1|1|1	2|2|1|1
ｷ87 試作高高度戦闘機	6400	10	3	低5	高51	13 / 15	90	30mm機関砲|20mm機関砲	2|2	4|3	1|1	2|2
ｷ100-Ⅰ甲|五式戦闘機 一型甲	3700	10	2	低4	低50	11 / 13	80	20mm機関砲|12.7mm機銃|250kg爆弾|特攻用爆弾	2,2,0|3,3,0|0,1,0|0,0,1	3|2|4|8	1|1|1|1	2|2|1|1
ｷ201 試作戦闘爆撃機|火龍	7000	10	3	低5	低50	14 / 16	60	30mm機関砲|20mm機関砲|800kg爆弾|特攻用爆弾	2,2,0|2,2,0|0,1,0|0,0,1	4|3|6|8	1|1|1|1	2|2|1|1
局地戦闘機 J8M1/ｷ200|秋水	6300	10	3	低4	高52	15 / 18	80	30mm機関砲	2	4	1	2
局地戦闘機 A7M3-J|烈風改	6600	10	2	低5	高52	12 / 14	110	30mm機関砲|30mm斜砲	4|2	4|4	1|1	2|2
