兵器名	価格	編|成	耐|久	最大|索敵	最大|防御	移動力|通常/高速	燃|料	武器名称	弾数	火|力	射|程	回|数
P-38G|ライトニング	8200	10	3	低5	高50	12 / 14	140	20mm機関砲|12.7mm機銃|454kg爆弾|227kg爆弾|113kg爆弾	1,1,1,1|4,4,4,4|0,1,0,0|0,0,1,0|0,0,0,1	3|2|4|4|3	1|1|1|1|1	2|2|1|1|1
P-38J|ライトニング	7700	10	3	低5	高50	12 / 14	130	20mm機関砲|12.7mm機銃|726kg爆弾|454kg爆弾|227kg爆弾	1,1,1,1|4,4,4,4|0,1,0,0|0,0,1,0|0,0,0,1	3|2|5|4|4	1|1|1|1|1	2|2|1|1|1
P-38L|ライトニング	8700	10	3	低5	高50	12 / 14	150	20mm機関砲|12.7mm機銃|907kg爆弾|726kg爆弾|5inchロケット	1,1,1,1|4,4,4,4|0,1,0,0|0,0,1,0|0,0,0,5	3|2|7|5|4	1|1|1|1|1	2|2|1|1|1
P-39D-1|エアラコブラ	5800	10	3	低4	高47	11 / 13	70	20mm機関砲|12.7mm機銃|7.62mm機銃|227kg爆弾|113kg爆弾	1,1,1|3,3,3|6,6,6|0,1,0|0,0,1	3|2|1|4|3	1|1|1|1|1	2|2|2|1|1
P-39L|エアラコブラ	6200	10	3	低4	高47	12 / 14	70	37mm機関砲|12.7mm機銃|7.62mm機銃|227kg爆弾|5inchロケット	1,1,1|3,3,3|6,6,6|0,1,0|0,0,2	4|2|1|4|4	1|1|1|1|1	2|2|2|1|1
P-61A|ブラックウィドウ	12800	4	4	低5	低50	12 / 14	100	20mm旋回砲|454kg爆弾|227kg爆弾|113kg爆弾	4,4,4,4|0,2,0,0|0,0,2,0|0,0,0,2	3|4|4|3	1|1|1|1	2|1|6|6
P-61B|ブラックウィドウ	22400	4	4	低6	低50	11 / 13	90	20mm旋回砲|12.7mm旋回砲|454kg爆弾|227kg爆弾|113kg爆弾	4,4,4,4|6,6,6,6|0,2,0,0|0,0,2,0|0,0,0,2	3|2|4|4|3	1|1|1|1|1	2|2|6|6|6
P-63A|キングコブラ	5000	10	3	低4	低50	12 / 14	70	37mm機関砲|12.7mm機銃|12.7mm機銃|227kg爆弾	1,1|3,3|3,3|0,2	4|2|2|4	1|1|1|1	2|2|2|1
P-70A-1|ナイトホーク	10080	4	4	低5	高46	11 / 13	70	12.7mm機銃	7	2	1	2
P-70B-1|ナイトホーク	16000	4	4	低5	高46	11 / 13	100	12.7mm機銃|12.7mm旋回銃	4|5	2|2	1|1	2|2
P-75A|イーグル	9700	10	2	低4	高48	12 / 14	200	12.7mm機銃|227kg爆弾	8,8|0,1	2|4	1|1	2|1
P-82B|ツインムスタング	14000	10	3	低5	高50	14 / 16	170	12.7mm機銃|907kg爆弾|454kg爆弾|5inchロケット	6,6,6,6|0,1,0,0|0,0,2,0|0,0,0,12	2|7|4|4	1|1|1|1	2|1|1|1
P-82E|ツインムスタング	11000	10	3	低6	高50	13 / 15	140	12.7mm機銃|907kg爆弾|454kg爆弾|5inchロケット	6,6,6,6|0,1,0,0|0,0,2,0|0,0,0,12	2|7|4|4	1|1|1|1	2|1|1|1
F2G-1|スーパーコルセア	5800	10	3	低4	低52	13 / 15	100	12.7mm機関砲|454kg爆弾	5,5|0,1	2|4	1|1	2|1
