兵器名	価格	編|成	耐|久	最大|索敵	最大|防御	移動力|通常/高速	燃|料	武器名称	弾数	火|力	射|程	回|数
重戦闘機 ｷ45改甲|二式複座戦闘機|屠龍 甲型	8700	10	3	低5	高50	10 / 12	120	12.7mm機銃|20mm旋回砲|7.92mm旋回銃	3|1|3	2|3|1	1|1|1	2|2|2
夜間戦闘機 ｷ45改丁|二式複座戦闘機|屠龍 丁型	6400	10	4	低5	高50	11 / 13	110	37mm機関砲|20mm斜砲|250kg爆弾|タ弾|特攻用爆弾	1,1,1,0|2,2,2,0|0,1,0,0|0,0,2,0|0,0,0,1	4|3|4|5|8	1|1|1|1|1	2|2|1|1|1
重戦闘機 ｷ44-Ⅰ甲|二式単座戦闘機|鍾馗 一型甲	5200	10	2	低5	高49	11 / 13	90	12.7mm機銃|7.7mm機銃	3|4	2|1	1|1	2|2
重戦闘機 ｷ44-Ⅱ甲|二式単座戦闘機|鍾馗 二型甲	6700	10	3	低5	高49	12 / 14	80	12.7mm機銃|7.7mm機銃|250kg爆弾|100kg爆弾	3,3,3|4,4,4|0,1,0|0,0,1	2|1|4|3	1|1|1|1	2|2|1|1
防空戦闘機 ｷ46-Ⅲ改|一〇〇式司令部偵察機|三型改	5200	10	2	低5	高51	12 / 14	150	20mm機関砲|37mm斜砲	2|1	3|4	1|1	2|2
ｷ109|試作特殊防空戦闘機	5600	10	3	低6	高52	11 / 13	110	75mm機関砲|7.7mm旋回銃	1|2	7|1	1|1	2|2
ｷ108|試作高高度戦闘機	5400	10	3	低5	高53	12 / 14	110	37mm機関砲|20mm機関砲	1|2	4|3	1|1	2|2
夜間戦闘機 J1N2|月光 二一型	5600	10	3	低5	高49	11 / 13	120	20mm旋回砲|20mm斜砲|250kg爆弾|60kg爆弾	2,2,2|2,2,2|0,1,0|0,0,1	3|3|4|2	1|1|1|1	2|2|1|1
夜間戦闘機 J1N3|月光 二三型	6200	10	4	低5	高49	11 / 13	120	20mm斜砲|250kg爆弾|60kg爆弾|特攻用爆弾	3,3,2,0|0,1,0,0|0,0,1,0|0,0,0,1	3|4|2|8	1|1|1|1	2|1|1|1
局地戦闘機 J2M2|雷電 一一型	7000	10	3	低4	高50	12 / 14	100	20mm機関砲|7.7mm機銃|30kg爆弾	2,2|4,4|0,1	3|1|2	1|1|1	2|2|1
局地戦闘機 J2M3|雷電 二一型	6700	10	4	低4	高50	12 / 14	100	20mm機関砲|60kg爆弾	4,4|0,1	3|2	1|1	2|1
局地戦闘機 J4M|閃電	4600	10	3	低5	高49	13 / 15	90	30mm機関砲|20mm機関砲|60kg爆弾	1,1|2,2|0,1	4|3|2	1|1|1	2|2|1
局地戦闘機 J6K1|陣風	9000	10	3	低5	高50	13 / 15	110	20mm機関砲|13.2mm機銃|60kg爆弾	4,4|3,3|0,1	3|2|2	1|1|1	2|2|1
J5N1|18試局地戦闘機 天雷	13000	10	3	低5	高50	12 / 14	190	30mm機関砲|20mm機関砲|30mm斜銃|60kg爆弾	2,2|2,2|2,2|0,1	4|3|4|2	1|1|1|1	2|2|2|1
S5A1|18試夜間戦闘機 電光	14400	4	4	低5	高52	11 / 13	90	30mm機関砲|20mm機関砲|20mm旋回砲|250kg爆弾|60kg爆弾	2,2,2|2,2,2|2,2,2|0,1,0|0,0,2	4|3|3|4|2	1|1|1|1|1	2|2|2|6|6
局地戦闘機 N1K1-Ja|紫電 一一甲型	4800	10	3	低5	低51	11 / 13	80	20mm機関砲|20mm機関砲|60kg爆弾	2,2|2,2|0,1	3|3|2	1|1|1	2|2|1
局地戦闘機 N1K2-J|紫電改	9000	10	4	低5	低52	12 / 14	120	20mm機関砲|250kg爆弾	4,4|0,1	3|4	1|1	2|1
夜間戦闘機 P1Y2-S|極光	13760	4	4	低5	高50	11 / 13	190	20mm旋回砲|20mm斜砲	1|2	3|3	1|1	2|2
局地戦闘機 J7W1|震電	6100	10	3	低4	高52	13 / 15	110	30mm機関砲|60kg爆弾|30kg爆弾	4,4,4|0,1,0|0,0,2	4|2|2	1|1|1	2|1|1
局地戦闘機 J7W2|震電改	11000	10	3	低5	高54	14 / 16	100	30mm機関砲|60kg爆弾|30kg爆弾	4,4,4|0,1,0|0,0,2	4|2|2	1|1|1	2|1|1
