兵器名	価格	編|成	耐|久	最大|索敵	最大|防御	移動力|通常/高速	燃料	武器名称	弾数	火|力	射|程	回|数
八九式中戦車|乙型	130	10	2|硬	地2(3)	低30	2 / 3	34	57mm戦車砲|7.7mm機関銃	10|8	3|1	1|1	1|1
九七式中戦車|チハ	170	10	2|硬	地2(3)	低32	3 / 4	42	57mm戦車砲|7.7mm機関銃	11|10	3|1	1|1	1|1
九七式中戦車改|新砲塔チハ	200	10	2|硬	地2(3)	低32	3 / 4	42	47mm戦車砲|7.7mm機関銃	10|10	3|1	1|1	1|1
一式中戦車|チヘ	220	10	3|硬	地2(3)	地40	3 / 4	42	47mm戦車砲|7.7mm機関銃	12|10	3|1	1|1	1|1
三式中戦車|チヌ	260	10	3|硬	地2(3)	地40	3 / 4	42	75mm戦車砲|7.7mm機関銃	7|9	4|1	1|1	1|1
四式中戦車|チト	340	10	3|硬	地2(3)	地50	3 / 4	40	75mm戦車砲|7.7mm機関銃	7|14	4|1	1|1	1|1
五式中戦車|チリ	400	10	3|硬	地2(4)	地54	3 / 4	40	75mm戦車砲|37mm戦車砲|7.7mm機関銃	10|10|13	4|3|1	1|1|1	1|1|1
特型内火艇|特三式内火艇|カチ	320	10	3|硬	地2(4)	地35	1 / 2	40					
特型内火艇|特三式内火艇|カチ　変形	-	10	3|硬	地2(3)	地38	3 / 4	40	47mm戦車砲|7.7mm機関銃	11|16	3|1	1|1	1|1
特型内火艇|特五式内火艇|トク	360	10	3|硬	地2(4)	地35	1 / 2	40					
特型内火艇|特五式内火艇|トク　変形	-	10	3|硬	地2(3)	地38	3 / 4	40	47mm戦車砲|25mm機関砲|7.7mm機関銃	8|11|8	3|3|1	1|1|1	1|1|1
